Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;"Вид товара";Размеры;Толщина
"Конструкционный пластик/Полиамид (PA)";"РА6 Полиамид пруток д.30х1000";130.81;ra6-poliamid-prutok-d30h1000-488;1;0;;;;;;;;;;;;пруток;;
"Конструкционный пластик/Полиамид (PA)";"РА6 Полиамид пруток черный д.30х1000";130.81;ra6-poliamid-prutok-chernyj-d30h1000;1;0;;;;;;"РА6 Полиамид пруток черный д.30х1000";"РА6 Полиамид пруток черный д.30х1000";;;;;пруток;;
"Конструкционный пластик/Фторопласт (PTFE, Ф4)";"PTFE Фторопласт пруток от 10 мм";62.00;ptfe-ftoroplast-prutok-ot-10-mm;1;1;;;;;;"PTFE Фторопласт пруток от 10 мм";"PTFE Фторопласт пруток от 10 мм";;;"<p>По химической стойкости фторопласт превосходит благородные металлы, эмали, спецстали. Самые агрессивные химические вещества (кислоты, щелочи, растворители) не оказывают на фторопласт Ф-4 ни какого воздействия даже при высоких температурах. На Ф-4 оказывают воздействие только расплавы щелочных металлов, растворы их в аммиаке, трёхфтористый хлор и элементарный фтор при высоких температурах.</p>
<p>Размеры 300 мм и 1000 мм</p>
<p>Диаметр от 10 мм до 250 мм</p>
<p>&nbsp;</p>";ftoroplast_prutki.jpg;Пруток;;
"Конструкционный пластик/Фторопласт (PTFE, Ф4)";"PTFE Фторопласт лист от 1 мм";855.00;ptfe-ftoroplast-list-ot-1-mm;1;1;;;;;;"PTFE Фторопласт лист от 1 мм";"PTFE Фторопласт лист от 1 мм";;;"<p>P.T.F.E. (Фторопласт Ф-4)- один из лучших высокополимеров и наиболее распространенный материал из всех фторсодержащих полимеров. Он наиболее стойкий из всех известных пластмасс. Может подвергаться непрерывной эксплуатации до +250&deg;С. P.T.F.E обладает исключительно низким коэффициентом трения. Так же является одним из лучших диэлектриков.</p>
<p>Толщина от 2мм до 60 мм<br />Размеры от 500 х 500 до 1000 х 1000</p>";ftoroplast_listy.jpg;Лист;;
"Продукция HIWIN/Линейные направляющие";"HIWIN Линейные направляющие HGR15R4000 H (цена указана за 1м)";1150.05;hiwin-linejnye-napravlyayuschie-hgr15r4000-h-tsena-ukazana-za-1m;1;0;;;;;;"HIWIN Линейные направляющие HGR15R4000 H (цена указана за 1м)";"HIWIN Линейные направляющие HGR15R4000 H (цена указана за 1м)";;;;;;;
"Для ЧПУ станков/Эластичные муфты";"Эластичная муфта  JH1-d20-4";193.55;elastichnaya-mufta-jh1-d20-4;1;0;;;;;;;;;;;;эластичная муфта;;
"Для ЧПУ станков/Эластичные муфты";"Эластичная муфта  JH1-d32-8";249.24;elastichnaya-mufta-jh1-d32-8;1;0;;;;;;;;;;;;эластичная муфта;;
"Продукция HIWIN/Шарико-винтовые передачи";HIWIN Шариковая гайка R16-5T3-FSI-00;1477.74;hiwin-sharikovaya-gajka-r16-5t3-fsi-00;1;0;;;;;;;;;;;;гайка;;
"Продукция HIWIN/Шарико-винтовые передачи";HIWIN Шариковая гайка R16-10T3-FSI-00;1627.09;hiwin-sharikovaya-gajka-r16-10t3-fsi-00;1;0;;;;;;;;;;;;гайка;;
"Продукция HIWIN/Шарико-винтовые передачи";HIWIN Шариковая гайка R20-5T4-FSI-00;1855.81;hiwin-sharikovaya-gajka-r20-5t4-fsi-00;1;0;;;;;;;;;;;;гайка;;
"Продукция HIWIN/Шарико-винтовые передачи";HIWIN Шариковая гайка R20-10K3-FSC-00;2692.23;hiwin-sharikovaya-gajka-r20-10k3-fsc-00;1;0;;;;;;;;;;;;гайка;;
"Продукция HIWIN/Шарико-винтовые передачи";HIWIN Шариковая гайка R25-5T4-FSI-00;1990.62;hiwin-sharikovaya-gajka-r25-5t4-fsi-00;1;0;;;;;;;;;;;;гайка;;
"Продукция HIWIN/Шарико-винтовые передачи";HIWIN Шариковая гайка R25-10T3-FSI-00;2639.22;hiwin-sharikovaya-gajka-r25-10t3-fsi-00;1;0;;;;;;;;;;;;гайка;;
"Продукция HIWIN/Шарико-винтовые передачи";HIWIN Шариковая гайка 4R-25-25K2-FSC-00;3610.75;hiwin-sharikovaya-gajka-4r-25-25k2-fsc-00;1;0;;;;;;;;;;;;гайка;;
"Продукция HIWIN/Шарико-винтовые передачи";HIWIN Шариковая гайка R32-5T4-FSI-00;2389.90;hiwin-sharikovaya-gajka-r32-5t4-fsi-00;1;0;;;;;;;;;;;;гайка;;
"Продукция HIWIN/Шарико-винтовые передачи";HIWIN Шариковая гайка R32-10T4-FSI-00;2642.85;hiwin-sharikovaya-gajka-r32-10t4-fsi-00;1;0;;;;;;;;;;;;гайка;;
"Продукция HIWIN/Шарико-винтовые передачи";HIWIN Шариковая гайка R32-10(K5)-FSC-0-0-0;2713.44;hiwin-sharikovaya-gajka-r32-10k5-fsc-0-0-0;1;0;;;;;;;;;;;;гайка;;
"Продукция HIWIN/Шарико-винтовые передачи";HIWIN Шариковая гайка 2-R32-20(K3)-FSC-0-0-0;2651.33;hiwin-sharikovaya-gajka-2-r32-20k3-fsc-0-0-0;1;0;;;;;;;;;;;;гайка;;
"Продукция HIWIN/Шарико-винтовые передачи";HIWIN Шариковая гайка R40-5(T6)-FSI-0-0-0;3441.70;hiwin-sharikovaya-gajka-r40-5t6-fsi-0-0-0;1;0;;;;;;;;;;;;гайка;;
"Продукция HIWIN/Шарико-винтовые передачи";HIWIN Шариковая гайка R40-10T4-FSI--0-0-0(7,144);3591.05;hiwin-sharikovaya-gajka-r40-10t4-fsi--0-0-07144;1;0;;;;;;;;;;;;гайка;;
"Продукция HIWIN/Шарико-винтовые передачи";HIWIN Шариковая гайка R50-10T6-FSI-00;5332.35;hiwin-sharikovaya-gajka-r50-10t6-fsi-00;1;0;;;;;;;;;;;;гайка;;
"Продукция HIWIN/Шарико-винтовые передачи";HIWIN Шариковая гайка 2-R50-20(К4)-FSC-0-0-0;5563.49;hiwin-sharikovaya-gajka-2-r50-20k4-fsc-0-0-0;1;0;;;;;;;;;;;;гайка;;
"Продукция HIWIN/Шарико-винтовые передачи";"HIWIN Шариковый винт R16-5-3000-3000-0.05 (цена указана за 1м)";1028.50;hiwin-sharikovyj-vint-r16-5-3000-3000-005-tsena-ukazana-za-1m;1;0;;;;;;;;;;;;винт;;
"Продукция HIWIN/Шарико-винтовые передачи";"HIWIN Шариковый винт R16-10-3000-3000-0.05 (цена указана за 1м)";1028.50;hiwin-sharikovyj-vint-r16-10-3000-3000-005-tsena-ukazana-za-1m;1;0;;;;;;;;;;;;винт;;
"Продукция HIWIN/Шарико-винтовые передачи";"HIWIN Шариковый винт R20-5-3000-3000-0.05 (цена указана за 1м)";1299.65;hiwin-sharikovyj-vint-r20-5-3000-3000-005-tsena-ukazana-za-1m;1;0;;;;;;;;;;;;винт;;
"Продукция HIWIN/Шарико-винтовые передачи";"HIWIN Шариковый винт R20-10-3000-3000-0.05 (цена указана за 1м)";1299.65;hiwin-sharikovyj-vint-r20-10-3000-3000-005-tsena-ukazana-za-1m;1;0;;;;;;;;;;;;винт;;
"Продукция HIWIN/Шарико-винтовые передачи";"HIWIN Шариковый винт R25-5-4500-4500-0.05 (цена указана за 1м)";1393.15;hiwin-sharikovyj-vint-r25-5-4500-4500-005-tsena-ukazana-za-1m;1;0;;;;;;;;;;;;винт;;
"Продукция HIWIN/Шарико-винтовые передачи";"HIWIN Шариковый винт R25-10-4500-4500-0.05 (цена указана за 1м)";1785.85;hiwin-sharikovyj-vint-r25-10-4500-4500-005-tsena-ukazana-za-1m;1;0;;;;;;;;;;;;винт;;
"Продукция HIWIN/Шарико-винтовые передачи";"HIWIN Шариковый винт 4R-25-25-4500-4500-0.05 (цена указана за 1м)";1972.85;hiwin-sharikovyj-vint-4r-25-25-4500-4500-005-tsena-ukazana-za-1m;1;0;;;;;;;;;;;;винт;;
"Продукция HIWIN/Шарико-винтовые передачи";"HIWIN Шариковый винт R32-5-4500-4500-0.05 (цена указана за 1м)";2389.90;hiwin-sharikovyj-vint-r32-5-4500-4500-005-tsena-ukazana-za-1m;1;0;;;;;;;;;;;;винт;;
"Продукция HIWIN/Шарико-винтовые передачи";"HIWIN Шариковый винт R32-10-4500-4500-0.05 (цена указана за 1м)";2642.85;hiwin-sharikovyj-vint-r32-10-4500-4500-005-tsena-ukazana-za-1m;1;0;;;;;;;;;;;;винт;;
"Продукция HIWIN/Шарико-винтовые передачи";"HIWIN Шариковый винт 2-R32-20-4500-4500-0.05 (цена указана за 1м)";2515.15;hiwin-sharikovyj-vint-2-r32-20-4500-4500-005-tsena-ukazana-za-1m;1;0;;;;;;;;;;;;винт;;
"Продукция HIWIN/Шарико-винтовые передачи";"HIWIN Шариковый винт R40-5-5600-5600-0.05 (цена указана за 1м)";2879.80;hiwin-sharikovyj-vint-r40-5-5600-5600-005-tsena-ukazana-za-1m;1;0;;;;;;;;;;;;винт;;
"Продукция HIWIN/Шарико-винтовые передачи";"HIWIN Шариковый винт R40-10-5600-5600-0.05 (цена указана за 1м)";3001.35;hiwin-sharikovyj-vint-r40-10-5600-5600-005-tsena-ukazana-za-1m;1;0;;;;;;;;;;;;винт;;
"Продукция HIWIN/Шарико-винтовые передачи";"HIWIN Шариковый винт R50-10-5600-5600-0.05 (цена указана за 1м)";4488.00;hiwin-sharikovyj-vint-r50-10-5600-5600-005-tsena-ukazana-za-1m;1;0;;;;;;;;;;;;винт;;
"Продукция HIWIN/Шарико-винтовые передачи";"HIWIN Шариковый винт 2-R50-20-5600-5600-0.05 (цена указана за 1м)";5563.49;hiwin-sharikovyj-vint-2-r50-20-5600-5600-005-tsena-ukazana-za-1m;1;0;;;;;;;;;;;;винт;;
"Продукция HIWIN/Линейные направляющие";"HIWIN Линейные направляющие HGR20R4000 H (цена указана за 1м)";1365.10;hiwin-linejnye-napravlyayuschie-hgr20r4000-h-tsena-ukazana-za-1m;1;0;;;;;;;;;;;;направляющая;;
"Продукция HIWIN/Линейные направляющие";"HIWIN Линейные направляющие HGR25R4000 H (цена указана за 1м)";1570.80;hiwin-linejnye-napravlyayuschie-hgr25r4000-h-tsena-ukazana-za-1m;1;0;;;;;;;;;;;;направляющая;;
"Продукция HIWIN/Линейные направляющие";"HIWIN Линейные направляющие HGR30R4000 H (цена указана за 1м)";1907.40;hiwin-linejnye-napravlyayuschie-hgr30r4000-h-tsena-ukazana-za-1m;1;0;;;;;;;;;;;;направляющая;;
